Ideal pulse shape of 1,2 an 3 photons events.
laser=1540nm (0.8eV)
bias current = 10.5 uA 
temperature = 44mK
 
time	Amp_1ph_0.8eV	Amp_2ph_1.6eV	Amp_3ph_2.4eV
s	V	V	V

4.53612E-6	-0.02314	-0.0432	-0.06283
4.57612E-6	-0.02282	-0.04318	-0.0628
4.61612E-6	-0.02256	-0.04283	-0.06279
4.65612E-6	-0.02268	-0.0426	-0.06223
4.69612E-6	-0.02254	-0.04215	-0.06117
4.73612E-6	-0.02225	-0.04211	-0.06119
4.77612E-6	-0.02193	-0.04183	-0.06131
4.81612E-6	-0.02206	-0.04155	-0.06083
4.85612E-6	-0.02197	-0.04102	-0.05972
4.89612E-6	-0.02172	-0.04116	-0.05985
4.93612E-6	-0.02142	-0.04083	-0.05971
4.97612E-6	-0.02165	-0.04052	-0.05936
5.01612E-6	-0.02151	-0.04008	-0.0582
5.05612E-6	-0.02126	-0.04014	-0.05836
5.09612E-6	-0.02095	-0.03986	-0.05852
5.13612E-6	-0.02103	-0.03963	-0.05794
5.17612E-6	-0.021	-0.03918	-0.05695
5.21612E-6	-0.02077	-0.03912	-0.05717
5.25612E-6	-0.02043	-0.03895	-0.05686
5.29612E-6	-0.02055	-0.03864	-0.05677
5.33612E-6	-0.0206	-0.03824	-0.05575
5.37612E-6	-0.02027	-0.03827	-0.05553
